time,bits
2021-09-06 10:30:33,7790776
2021-09-06 10:31:03,3543728
2021-09-06 10:31:33,8877176
2021-09-06 10:32:03,9999888
2021-09-06 10:32:34,22594984
2021-09-06 10:33:03,1799432
2021-09-06 10:33:33,11028720
2021-09-06 10:34:03,2926552
2021-09-06 10:34:33,13811816
2021-09-06 10:35:03,16179136
2021-09-06 10:35:33,7930280
2021-09-06 10:36:03,5960872
2021-09-06 10:36:33,7237112
2021-09-06 10:37:03,8473984
2021-09-06 10:37:33,12461928
2021-09-06 10:38:03,48291104
2021-09-06 10:38:33,12318576
2021-09-06 10:39:04,58620024
2021-09-06 10:39:33,28683064
2021-09-06 10:40:03,43299632
2021-09-06 10:41:03,30717232
2021-09-06 10:41:33,44801328
2021-09-06 10:42:03,47506264
2021-09-06 10:42:33,63299216
2021-09-06 10:43:03,17679656
2021-09-06 10:43:33,48747544
2021-09-06 10:44:03,75637680
2021-09-06 10:44:33,61066312
2021-09-06 10:45:03,65284160
2021-09-06 10:45:33,44911176
2021-09-06 10:46:04,5261064
2021-09-06 10:46:33,27830528
2021-09-06 10:47:03,23553096
2021-09-06 10:47:33,12740288
2021-09-06 10:48:03,19771168
2021-09-06 10:48:33,21128064
2021-09-06 10:49:03,15739808
2021-09-06 10:49:33,11648232
2021-09-06 10:50:03,18894352
2021-09-06 10:50:33,11168632
2021-09-06 10:51:03,5999760
2021-09-06 10:51:33,8709008
2021-09-06 10:52:03,31752728
2021-09-06 10:52:33,14205984
2021-09-06 10:53:03,3798192
2021-09-06 10:53:33,6890368
2021-09-06 10:54:03,23865560
2021-09-06 10:54:33,9187128
2021-09-06 10:55:03,17898104
2021-09-06 10:55:33,12655496
2021-09-06 10:56:03,11756760
2021-09-06 10:56:33,5167672
2021-09-06 10:57:03,3965456
2021-09-06 10:57:33,3639184
2021-09-06 10:58:03,4472680
2021-09-06 10:58:33,10571720
2021-09-06 10:59:03,18921256
2021-09-06 10:59:33,37470168
2021-09-06 11:00:03,50187816
2021-09-06 11:00:34,19712072
2021-09-06 11:01:03,28212608
