Data Hora,QtdBites
2021-09-02 22:32:33,687432
2021-09-02 22:33:03,927960
2021-09-02 22:33:33,5590592
2021-09-02 22:34:03,2092336
2021-09-02 22:34:33,547912
2021-09-02 22:35:03,712128
2021-09-02 22:35:33,759960
2021-09-02 22:36:03,921320
2021-09-02 22:36:33,667016
2021-09-02 22:37:03,1014464
2021-09-02 22:37:33,880272
2021-09-02 22:38:03,1019944
2021-09-02 22:38:33,801208
2021-09-02 22:39:03,1072720
2021-09-02 22:39:33,1744488
2021-09-02 22:40:03,2647424
2021-09-02 22:40:33,1396288
2021-09-02 22:41:03,872288
2021-09-02 22:41:33,817992
2021-09-02 22:42:03,1287744
2021-09-02 22:42:33,89506456
2021-09-02 22:43:03,776600
2021-09-02 22:43:33,908064
2021-09-02 22:44:03,1443744
2021-09-02 22:44:33,1666544
2021-09-02 22:45:03,1157064
2021-09-02 22:45:33,670392
2021-09-02 22:46:03,1541472
2021-09-02 22:46:33,1771992
2021-09-02 22:47:03,86784616
2021-09-02 22:47:33,700640
2021-09-02 22:48:03,501904
2021-09-02 22:48:33,1175000
2021-09-02 22:49:03,611248
2021-09-02 22:49:33,646808
2021-09-02 22:50:03,606656
2021-09-02 22:50:33,558576
2021-09-02 22:51:03,536712
2021-09-02 22:51:33,612056
2021-09-02 22:52:03,590232
2021-09-02 22:52:33,577832
2021-09-02 22:53:03,890520
2021-09-02 22:53:33,17269392
2021-09-02 22:54:03,61116472
2021-09-02 22:54:33,26415064
2021-09-02 22:55:03,960296
2021-09-02 22:55:33,541640
2021-09-02 22:56:03,700552
2021-09-02 22:56:33,597736
2021-09-02 22:57:03,1890928
2021-09-02 22:57:33,14937616
2021-09-02 22:58:03,530536
2021-09-02 22:58:33,534792
2021-09-02 22:59:03,483800
2021-09-02 22:59:33,490168
2021-09-02 23:00:03,480960
2021-09-02 23:00:34,2941944
2021-09-02 23:01:03,3899264
2021-09-02 23:01:34,1555088
2021-09-02 23:02:03,863768
2021-09-02 23:02:33,811192
2021-09-02 23:03:03,1071656
2021-09-02 23:03:33,500112
2021-09-02 23:04:03,475080
2021-09-02 23:04:33,467640
2021-09-02 23:05:03,1436232
2021-09-02 23:05:33,482328
2021-09-02 23:06:03,1587000
2021-09-02 23:06:33,923096
2021-09-02 23:07:03,1191096
2021-09-02 23:07:33,1228752
2021-09-02 23:08:03,608368
2021-09-02 23:08:33,625064
2021-09-02 23:09:03,597032
2021-09-02 23:09:33,1217552
2021-09-02 23:10:03,1032816
2021-09-02 23:10:33,971112
2021-09-02 23:11:03,1072432
2021-09-02 23:11:33,727024
2021-09-02 23:12:03,623808
2021-09-02 23:12:33,530056
2021-09-02 23:13:03,536120
2021-09-02 23:13:33,478184
2021-09-02 23:14:03,518368
2021-09-02 23:14:33,526520
2021-09-02 23:15:03,926736
2021-09-02 23:15:33,32380776
2021-09-02 23:16:03,3812808
2021-09-02 23:16:33,115620160
2021-09-02 23:17:03,31727200
2021-09-02 23:17:33,7868056
2021-09-02 23:18:03,591928
2021-09-02 23:18:33,782456
2021-09-02 23:19:03,80796032
2021-09-02 23:19:33,35834128
2021-09-02 23:20:03,93853232
2021-09-02 23:20:33,28477000
2021-09-02 23:21:34,72664144
2021-09-02 23:22:03,590256
2021-09-02 23:22:33,570072
2021-09-02 23:23:03,632080
2021-09-02 23:23:33,12763912
2021-09-02 23:24:03,43854192
2021-09-02 23:24:33,43304832
2021-09-02 23:25:03,44721648
2021-09-02 23:25:33,20097592
2021-09-02 23:26:03,716016
2021-09-02 23:26:33,644728
2021-09-02 23:27:03,27705400
2021-09-02 23:27:33,3741768
2021-09-02 23:28:03,1170576
2021-09-02 23:28:33,1833616
2021-09-02 23:29:03,582464
2021-09-02 23:29:33,755936
2021-09-02 23:30:03,500640
2021-09-02 23:30:33,510584
2021-09-02 23:31:03,649960
2021-09-02 23:31:33,818736
2021-09-02 23:32:03,637360
2021-09-02 23:32:33,579640
2021-09-02 23:33:04,498200
2021-09-02 23:33:33,524744
2021-09-02 23:34:03,1504296
2021-09-02 23:34:33,66851336
2021-09-02 23:35:03,36362688
2021-09-02 23:35:33,604040
2021-09-02 23:36:03,616104
2021-09-02 23:36:34,585104
2021-09-02 23:37:03,658672
2021-09-02 23:37:33,626352
2021-09-02 23:38:03,526608
2021-09-02 23:38:33,650952
2021-09-02 23:39:03,522152
2021-09-02 23:39:33,593664
2021-09-02 23:40:03,515552
2021-09-02 23:40:33,5532128
2021-09-02 23:41:03,5769064
2021-09-02 23:41:33,81076176
2021-09-02 23:42:03,30495656
2021-09-02 23:42:33,5968248
2021-09-02 23:43:03,62724456
2021-09-02 23:43:33,49193800
2021-09-02 23:44:03,492936
2021-09-02 23:44:33,839160
2021-09-02 23:45:03,537032
2021-09-02 23:45:33,1029792
2021-09-02 23:46:03,3198200
2021-09-02 23:46:33,2451256
2021-09-02 23:47:03,2252256
2021-09-02 23:47:33,2029888
2021-09-02 23:48:03,2475464
2021-09-02 23:48:33,1048976
2021-09-02 23:49:03,493888
2021-09-02 23:49:33,657064
2021-09-02 23:50:03,605408
2021-09-02 23:50:33,20052808
2021-09-02 23:51:03,121279800
2021-09-02 23:51:33,641296
2021-09-02 23:52:03,134851280
2021-09-02 23:52:33,609328
2021-09-02 23:53:03,940976
2021-09-02 23:53:33,3467768
2021-09-02 23:54:03,46413760
2021-09-02 23:54:33,42282656
2021-09-02 23:55:03,47248264
2021-09-02 23:56:03,38523440
2021-09-02 23:56:33,36397768
2021-09-02 23:57:03,1013600
2021-09-02 23:57:33,647160
2021-09-02 23:58:03,883912
2021-09-02 23:58:33,1108248
2021-09-02 23:59:03,631056
2021-09-02 23:59:33,616600
2021-09-03 00:00:03,1046384
2021-09-03 00:00:33,671888
2021-09-03 00:01:03,1171136
2021-09-03 00:01:33,674944
2021-09-03 00:02:04,810480
2021-09-03 00:02:33,1391256
2021-09-03 00:03:03,702040
2021-09-03 00:03:33,1198264
2021-09-03 00:04:03,1493072
2021-09-03 00:04:33,1134088
2021-09-03 00:05:03,3560952
2021-09-03 00:05:33,830768
2021-09-03 00:06:03,3513256
2021-09-03 00:06:33,959712
2021-09-03 00:07:03,721992
2021-09-03 00:07:33,604640
2021-09-03 00:08:03,854248
2021-09-03 00:08:33,1059464
2021-09-03 00:09:03,860416
2021-09-03 00:09:33,712552
2021-09-03 00:10:03,1746992
2021-09-03 00:10:33,957264
2021-09-03 00:11:03,881680
2021-09-03 00:11:33,690872
2021-09-03 00:12:03,1016648
2021-09-03 00:12:33,670504
2021-09-03 00:13:03,1151464
2021-09-03 00:13:33,881376
2021-09-03 00:14:03,1201528
2021-09-03 00:14:33,2733096
2021-09-03 00:15:03,41854816
2021-09-03 00:15:33,35419680
2021-09-03 00:16:03,1147776
2021-09-03 00:16:33,657344
2021-09-03 00:17:03,47035200
2021-09-03 00:17:33,155915552
2021-09-03 00:18:03,528752
2021-09-03 00:18:33,541744
2021-09-03 00:19:03,544544
2021-09-03 00:19:33,557424
2021-09-03 00:20:03,510472
2021-09-03 00:20:33,524424
2021-09-03 00:21:03,492184
2021-09-03 00:21:33,524384
2021-09-03 00:22:03,29173576
2021-09-03 00:22:33,25306824
2021-09-03 00:23:03,3487072
2021-09-03 00:23:33,9202592
2021-09-03 00:24:03,73582656
2021-09-03 00:24:33,83368776
2021-09-03 00:25:03,28795352
2021-09-03 00:25:33,113465864
2021-09-03 00:26:04,806312
2021-09-03 00:26:33,42780736
2021-09-03 00:27:03,667680
2021-09-03 00:27:33,34393944
2021-09-03 00:28:03,42550296
2021-09-03 00:28:33,2028432
2021-09-03 00:29:03,2515240
2021-09-03 00:29:33,2259072
2021-09-03 00:30:03,930496
2021-09-03 00:30:33,127190752
2021-09-03 00:31:03,77201576
2021-09-03 00:31:33,695576
2021-09-03 00:32:03,941256
2021-09-03 00:32:33,1337464
2021-09-03 00:33:33,33958680
2021-09-03 00:34:03,3224264
2021-09-03 00:34:33,3755704
2021-09-03 00:35:03,531064
2021-09-03 00:35:33,529984
2021-09-03 00:36:03,572192
2021-09-03 00:36:33,490480
2021-09-03 00:37:03,507776
2021-09-03 00:37:33,523320
2021-09-03 00:38:03,798608
2021-09-03 00:38:33,1319280
