Data;Hora;NDeSerie;QtdBites
14-09-2021;18:46:33;1631655993;59049912
14-09-2021;18:46:03;1631655963;143708328
14-09-2021;18:45:33;1631655933;171966816
14-09-2021;18:44:33;1631655873;295779704
14-09-2021;18:44:03;1631655843;264460824
14-09-2021;18:43:33;1631655813;361580880
14-09-2021;18:42:33;1631655753;433145496
14-09-2021;18:42:03;1631655723;404321080
14-09-2021;18:41:03;1631655663;273799752
14-09-2021;18:40:33;1631655633;212670592
14-09-2021;18:40:03;1631655603;217039904
14-09-2021;18:39:03;1631655543;218109208
14-09-2021;18:38:33;1631655513;225947064
14-09-2021;18:38:03;1631655483;240856888
14-09-2021;18:37:33;1631655453;295036680
14-09-2021;18:36:33;1631655393;248228808
14-09-2021;18:36:03;1631655363;212471672
14-09-2021;18:35:33;1631655333;218153024
14-09-2021;18:35:03;1631655303;170320000
14-09-2021;18:34:03;1631655243;192901160
14-09-2021;18:33:33;1631655213;123059912
14-09-2021;18:33:03;1631655183;140555536
14-09-2021;18:32:33;1631655153;99783832
14-09-2021;18:32:03;1631655123;78071992
14-09-2021;18:31:33;1631655093;62170656
14-09-2021;18:31:03;1631655063;137771040
14-09-2021;18:30:33;1631655033;179143040
14-09-2021;18:29:33;1631654973;165463704
14-09-2021;18:29:03;1631654943;242925304
14-09-2021;18:28:33;1631654913;197341672
14-09-2021;18:28:03;1631654883;211263880
14-09-2021;18:27:03;1631654823;230159848
14-09-2021;18:26:33;1631654793;124673536
14-09-2021;18:26:03;1631654763;44066568
14-09-2021;18:25:33;1631654733;46149464
14-09-2021;18:25:03;1631654703;80664032
14-09-2021;18:24:34;1631654674;35785832
14-09-2021;18:24:03;1631654643;11914264
14-09-2021;18:23:33;1631654613;25470712
14-09-2021;18:23:03;1631654583;14353216
14-09-2021;18:22:33;1631654553;13727256
14-09-2021;18:22:03;1631654523;28898016
14-09-2021;18:21:33;1631654493;15607120
14-09-2021;18:21:03;1631654463;49628880
14-09-2021;18:20:33;1631654433;40076184
14-09-2021;18:20:03;1631654403;32645824
14-09-2021;18:19:33;1631654373;20949208
14-09-2021;18:19:03;1631654343;77912680
14-09-2021;18:18:33;1631654313;132623968
14-09-2021;18:17:34;1631654254;108323408
14-09-2021;18:17:03;1631654223;110957016
14-09-2021;18:16:33;1631654193;46517776
14-09-2021;18:16:03;1631654163;59805544
14-09-2021;18:15:33;1631654133;38581312
14-09-2021;18:15:03;1631654103;153183896
14-09-2021;18:14:33;1631654073;41107112
14-09-2021;18:14:03;1631654043;66617144
